id	mozzart_igra_id	mozzart_podigra_id	igra_ime	ime	pozicija
290	141	14	Mozzart Kombinazzije	2+I&1+II	289
291	141	15	Mozzart Kombinazzije	1+I&2+II	195
292	141	16	Mozzart Kombinazzije	2-2&3+	192
293	141	17	Mozzart Kombinazzije	1+I&1+II	194
294	141	18	Mozzart Kombinazzije	1&gg	199
295	141	19	Mozzart Kombinazzije	2&gg	200
296	141	21	Mozzart Kombinazzije	2-2&2+I	201
297	141	22	Mozzart Kombinazzije	1&bku>	203
298	141	23	Mozzart Kombinazzije	1&bku<	202
299	141	24	Mozzart Kombinazzije	2&bku>	205
300	141	25	Mozzart Kombinazzije	2&bku<	204
301	141	26	Mozzart Kombinazzije	1&bžk>	207
302	141	27	Mozzart Kombinazzije	1&bžk<	206
303	141	28	Mozzart Kombinazzije	2&bžk>	209
304	141	29	Mozzart Kombinazzije	2&bžk<	208
305	141	30	Mozzart Kombinazzije	2+I&4+	210
306	141	31	Mozzart Kombinazzije	2+I&3+II	211
307	141	32	Mozzart Kombinazzije	GG&NG	212
308	141	33	Mozzart Kombinazzije	NG&GG	213
309	141	34	Mozzart Kombinazzije	NG&NG	214
310	141	35	Mozzart Kombinazzije	ne1& 2+	215
311	141	36	Mozzart Kombinazzije	ne1& 3+	216
312	141	37	Mozzart Kombinazzije	1&1+I	217
313	141	38	Mozzart Kombinazzije	1&0-2	218
314	141	39	Mozzart Kombinazzije	1&2-4	219
315	141	40	Mozzart Kombinazzije	1&3-5	220
316	141	41	Mozzart Kombinazzije	1-1&2+	221
317	141	42	Mozzart Kombinazzije	1-1&2-3	222
318	141	43	Mozzart Kombinazzije	1-1&2-4	223
319	141	44	Mozzart Kombinazzije	1-1&3-5	224
320	141	45	Mozzart Kombinazzije	1-1&GG	225
321	141	46	Mozzart Kombinazzije	1-1&NG	226
322	141	47	Mozzart Kombinazzije	1X&2+	227
323	141	48	Mozzart Kombinazzije	1X&3+	228
324	141	49	Mozzart Kombinazzije	1X&4+	229
325	141	50	Mozzart Kombinazzije	1X&2+I	230
326	141	51	Mozzart Kombinazzije	1X&0-2	231
327	141	52	Mozzart Kombinazzije	1X&0-3	232
328	141	53	Mozzart Kombinazzije	1X&GG	233
329	141	54	Mozzart Kombinazzije	1&VG1	234
330	141	55	Mozzart Kombinazzije	1&VGX	235
331	141	56	Mozzart Kombinazzije	1&VG2	236
332	141	57	Mozzart Kombinazzije	1X&VG1	237
333	141	58	Mozzart Kombinazzije	1X&VGX	238
334	141	59	Mozzart Kombinazzije	1X&VG2	239
335	141	60	Mozzart Kombinazzije	X-1&2+	240
336	141	61	Mozzart Kombinazzije	X-1&3+	241
337	141	62	Mozzart Kombinazzije	X-1&4+	242
338	141	63	Mozzart Kombinazzije	X-1&0-2	243
339	141	64	Mozzart Kombinazzije	X-1&2-3	244
340	141	65	Mozzart Kombinazzije	X-1&2-4	245
341	141	66	Mozzart Kombinazzije	X-1&3-5	246
342	141	67	Mozzart Kombinazzije	X-1&GG	247
343	141	68	Mozzart Kombinazzije	X-1&NG	248
344	141	69	Mozzart Kombinazzije	X-X&3+	249
345	141	70	Mozzart Kombinazzije	X-X&0-2	250
346	141	71	Mozzart Kombinazzije	X-X&GG	251
347	141	72	Mozzart Kombinazzije	ne2&2+	252
348	141	73	Mozzart Kombinazzije	ne2&3+	253
349	141	74	Mozzart Kombinazzije	2&1+I	254
350	141	75	Mozzart Kombinazzije	2&0-2	255
351	141	76	Mozzart Kombinazzije	2&2-4	256
352	141	77	Mozzart Kombinazzije	2&3-5	257
353	141	78	Mozzart Kombinazzije	2-2&2+	258
354	141	79	Mozzart Kombinazzije	2-2&2-3	259
355	141	80	Mozzart Kombinazzije	2-2&2-4	260
356	141	81	Mozzart Kombinazzije	2-2&3-5	261
357	141	82	Mozzart Kombinazzije	2-2&GG	262
358	141	83	Mozzart Kombinazzije	2-2&NG	263
359	141	84	Mozzart Kombinazzije	X2&2+	264
360	141	85	Mozzart Kombinazzije	X2&3+	265
361	141	86	Mozzart Kombinazzije	X2&4+	266
362	141	87	Mozzart Kombinazzije	X2&2+I	267
363	141	88	Mozzart Kombinazzije	X2&0-2	268
364	141	89	Mozzart Kombinazzije	X2&0-3	269
365	141	90	Mozzart Kombinazzije	X2&GG	270
366	141	91	Mozzart Kombinazzije	2&VG1	271
367	141	92	Mozzart Kombinazzije	2&VGX	272
368	141	93	Mozzart Kombinazzije	2&VG2	273
369	141	94	Mozzart Kombinazzije	X2&VG1	274
370	141	95	Mozzart Kombinazzije	X2&VGX	275
371	141	96	Mozzart Kombinazzije	X2&VG2	276
372	141	97	Mozzart Kombinazzije	X-2&2+	277
373	141	98	Mozzart Kombinazzije	X-2&3+	278
374	141	99	Mozzart Kombinazzije	X-2&4+	279
375	141	100	Mozzart Kombinazzije	X-2&0-2	280
376	141	101	Mozzart Kombinazzije	X-2&2-3	281
377	141	102	Mozzart Kombinazzije	X-2&2-4	282
378	141	103	Mozzart Kombinazzije	X-2&3-5	283
379	141	104	Mozzart Kombinazzije	X-2&GG	284
380	141	105	Mozzart Kombinazzije	X-2&NG	285
381	141	106	Mozzart Kombinazzije	X&2+	286
382	141	107	Mozzart Kombinazzije	X&0-2	287
383	141	108	Mozzart Kombinazzije	X&4+	288
384	141	109	Mozzart Kombinazzije	2+I&2+II	290
385	141	110	Mozzart Kombinazzije	1-1&4+	291
386	141	111	Mozzart Kombinazzije	2-2&4+	292
387	142	1	Tim 1 ukupno golova DP	1+	164
388	142	2	Tim 1 ukupno golova DP	2+	165
389	142	3	Tim 1 ukupno golova DP	0	166
390	142	4	Tim 1 ukupno golova DP	0-1	167
391	142	5	Tim 1 ukupno golova DP	0-2	168
392	142	6	Tim 1 ukupno golova DP	1-2	169
393	142	7	Tim 1 ukupno golova DP	3+	170
394	143	1	Tim 2 ukupno golova DP	1+	171
395	143	2	Tim 2 ukupno golova DP	2+	172
396	143	3	Tim 2 ukupno golova DP	0	173
397	143	4	Tim 2 ukupno golova DP	0-1	174
398	143	5	Tim 2 ukupno golova DP	0-2	175
399	143	6	Tim 2 ukupno golova DP	1-2	176
400	143	7	Tim 2 ukupno golova DP	3+	177
401	153	1	Dupla pobeda	11	327
402	153	2	Dupla pobeda	22	328
403	154	1	Mozzart Šansa	ki1Vpp1	329
404	154	2	Mozzart Šansa	kiXVppX	330
405	154	3	Mozzart Šansa	ki2Vpp2	331
406	154	4	Mozzart Šansa	ki1V3+	332
407	154	5	Mozzart Šansa	ggIVggII	333
408	154	6	Mozzart Šansa	2+IV2+II	334
409	154	7	Mozzart Šansa	3+IV3+II	335
410	179	1	Sigurna pobeda	1	336
411	179	2	Sigurna pobeda	2	337
412	180	1	Hend. pobeda	1	69
413	180	2	Hend. pobeda	2	70
414	205	1	Dupla šansa drugo poluvreme	1X	
415	205	2	Dupla šansa drugo poluvreme	12	
416	205	3	Dupla šansa drugo poluvreme	X2	
417	297	1	Dupla sansa prvo poluvreme	1X	294
418	297	2	Dupla sansa prvo poluvreme	12	293
419	297	3	Dupla sansa prvo poluvreme	X2	295
420	404	1	Prvi daje gol prvo poluvreme	1	299
421	404	2	Prvi daje gol prvo poluvreme	X	300
422	404	3	Prvi daje gol prvo poluvreme	2	301
423	500	1	Penali u regularnom delu utakmice	da	
424	500	2	Penali u regularnom delu utakmice	ne	
425	501	1	Crveni karton u regularnom delu utakmice	da	
426	501	2	Crveni karton u regularnom delu utakmice	ne	
